# QD2
# Current: 90 (A)
# x(mm)	intBz(Tmm)
0.000000000000000000e+00	7.059952622512355447e-11
2.020202020202020332e+00	2.507780246260912804e+01
4.040404040404040664e+00	5.015563974570751782e+01
6.060606060606060552e+00	7.523361621300952606e+01
8.080808080808081328e+00	1.003113899810549583e+02
1.010101010101010210e+01	1.253862206562506003e+02
1.212121212121212110e+01	1.504535298254845088e+02
1.414141414141414188e+01	1.755294161503657904e+02
1.616161616161616266e+01	2.006978293135356921e+02
1.818181818181818343e+01	2.259928818595962809e+02
2.020202020202020421e+01	2.506102829881630782e+02
2.222222222222222499e+01	2.714728828366829703e+02
2.424242424242424221e+01	2.837543328768500714e+02
2.626262626262626299e+01	2.845425145964869671e+02
2.828282828282828376e+01	2.743518884425359374e+02
3.030303030303030454e+01	2.574705965388523055e+02
3.232323232323232531e+01	2.393544987579714700e+02
3.434343434343434609e+01	2.226120355402644009e+02
3.636363636363636687e+01	2.075795213420060179e+02
3.838383838383838764e+01	1.940117916999805061e+02
4.040404040404040842e+01	1.817549679661717335e+02
4.242424242424242919e+01	1.707868168383338059e+02
4.444444444444444997e+01	1.610728207072307896e+02
4.646464646464647075e+01	1.524896067610621913e+02
4.848484848484848442e+01	1.448603596384413095e+02
5.050505050505050519e+01	1.380191981685601377e+02
5.252525252525252597e+01	1.318438546595437515e+02
5.454545454545454675e+01	1.262527791279840557e+02
5.656565656565656752e+01	1.211861926952146575e+02
5.858585858585858830e+01	1.165892143982477620e+02
6.060606060606060908e+01	1.124047047712962524e+02
6.262626262626262985e+01	1.085741348516658604e+02
6.464646464646465063e+01	1.050415979167135561e+02
6.666666666666667140e+01	1.017574705928550429e+02
6.868686868686869218e+01	9.868047911878650780e+01
7.070707070707071296e+01	9.577821783950496126e+01
7.272727272727273373e+01	9.302654040111877976e+01
7.474747474747475451e+01	9.040822755159285862e+01
7.676767676767677528e+01	8.791126668636427155e+01
7.878787878787879606e+01	8.552704832621049036e+01
8.080808080808081684e+01	8.324875766900008500e+01
8.282828282828283761e+01	8.107016634244475028e+01
8.484848484848485839e+01	7.898490828927857876e+01
8.686868686868687917e+01	7.698619803912006887e+01
8.888888888888889994e+01	7.506686688659718243e+01
9.090909090909092072e+01	7.321957083780992548e+01
9.292929292929294149e+01	7.143704885169699992e+01
9.494949494949496227e+01	6.971235371618800514e+01
9.696969696969696884e+01	6.803901917038285774e+01
9.898989898989898961e+01	6.641115614506638565e+01
1.010101010101010104e+02	6.482348749575427860e+01
1.030303030303030312e+02	6.327133778261870134e+01
1.050505050505050519e+02	6.175059579277564126e+01
1.070707070707070727e+02	6.025766528552770041e+01
1.090909090909090935e+02	5.878941538316789206e+01
1.111111111111111143e+02	5.734313733306437655e+01
1.131313131313131350e+02	5.591650996844941801e+01
1.151515151515151558e+02	5.450757269516439152e+01
1.171717171717171766e+02	5.311470276747599684e+01
1.191919191919191974e+02	5.173659294089824812e+01
1.212121212121212182e+02	5.037222622013422324e+01
1.232323232323232389e+02	4.902084591758607957e+01
1.252525252525252597e+02	4.768192112820845807e+01
1.272727272727272805e+02	4.635510959652752661e+01
1.292929292929293013e+02	4.504022132196765682e+01
1.313131313131313220e+02	4.373718694059425616e+01
1.333333333333333428e+02	4.244603482802441619e+01
1.353535353535353636e+02	4.116687993022829772e+01
1.373737373737373844e+02	3.989992588708923904e+01
1.393939393939394051e+02	3.864548001341212569e+01
1.414141414141414259e+02	3.740397852571259563e+01
1.434343434343434467e+02	3.617601708855123377e+01
1.454545454545454675e+02	3.496237971203443351e+01
1.474747474747474882e+02	3.376405762077924777e+01
1.494949494949495090e+02	3.258224962996995089e+01
1.515151515151515298e+02	3.141833752191232065e+01
1.535353535353535506e+02	3.027383411144027292e+01
1.555555555555555713e+02	2.915030762084484905e+01
1.575757575757575921e+02	2.804929194478629029e+01
1.595959595959596129e+02	2.697219615403338011e+01
1.616161616161616337e+02	2.592022668481963876e+01
1.636363636363636545e+02	2.489433200860528927e+01
1.656565656565656752e+02	2.389517391263421331e+01
1.676767676767676960e+02	2.292312394599736081e+01
1.696969696969697168e+02	2.197827978433661400e+01
1.717171717171717376e+02	2.106049476263840603e+01
1.737373737373737583e+02	2.016941411971522058e+01
1.757575757575757791e+02	1.930451285786455884e+01
1.777777777777777999e+02	1.846513176524760880e+01
1.797979797979798207e+02	1.765050961950187158e+01
1.818181818181818414e+02	1.685981071964084066e+01
1.838383838383838622e+02	1.609214761122134618e+01
1.858585858585858830e+02	1.534659932907905855e+01
1.878787878787879038e+02	1.462222563347646087e+01
1.898989898989899245e+02	1.391807782266912241e+01
1.919191919191919453e+02	1.323320662454034036e+01
1.939393939393939377e+02	1.256666760966936636e+01
1.959595959595959584e+02	1.191752442670178347e+01
1.979797979797979792e+02	1.128485003057534009e+01
2.000000000000000000e+02	1.066772585763092351e+01
